File_name,Reference_transcript ,Language,google_speech_transcription,google_speech_wer,google_speech_slang_score,slang_google_speech_transcription,slang_google_speech_wer,slang_google_speech_slang_score,indic_wav2vec_transcription,indic_wav2vec_wer,indic_wav2vec_slang_score,slang_indic_wav2vec_transcription,slang_indic_wav2vec_wer,slang_indic_wav2vec_slang_score,audio_links
ff4787fa-59ab-4fa6-8d28-5fcccb05120c,give some 100 rupees to vijay,en-IN,give some hundred ways to easy,0.5,0.25,give some 100 ways to easy,0.3333333333333333,0.25,give some rupees to vj,0.3333333333333333,0.25,give some rupees to vj,0.3333333333333333,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/ff4787fa-59ab-4fa6-8d28-5fcccb05120c.wav
feec7e5a-fcf6-4850-8614-1c41b8e515db,what are the offers of paying water bill through the app,en-IN,what are the offers of paying water bill to the app,0.09090909090909091,1.0,what are the offers of paying water bill to the app,0.09090909090909091,1.0,what are the offers of paying water bill through the app,0.0,1.0,what are the offers of paying water bill through the app,0.0,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/feec7e5a-fcf6-4850-8614-1c41b8e515db.wav
fe270614-16d4-416b-855a-5e6e542ad540,request 365 from madhu,en-IN,request 365 from madu,0.25,0.6,request 365 from madu,0.25,0.6,request from module,0.5,0.5,request from module,0.5,0.5,https://storage.googleapis.com/slang-audio-test-data/audio/fe270614-16d4-416b-855a-5e6e542ad540.wav
fe1f1315-af02-4483-b280-cbe620051311,They are sound to pay 500 rupees has a representative so please pay it,en-IN,listen to pay 500 rupees as electricity to play spade,0.7142857142857143,1.0,listen to pay 500 rupees as electricity to play spade,0.7142857142857143,1.0,how to pay rupees as electricity  so please pay,0.5714285714285714,0.0,how to pay rupees as electricity  so please pay,0.5714285714285714,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/fe1f1315-af02-4483-b280-cbe620051311.wav
fe1b58c3-8e41-457b-ad0e-12c976e36917,donate 50000 to Dr. Praveens eye hospital,en-IN,donate 50000 to doctor praveen's i hospital,0.42857142857142855,1.0,donate 50000 to doctor praveen's i hospital,0.42857142857142855,1.0,ravens hospital,0.8571428571428571,1.0,ravens hospital,0.8571428571428571,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fe1b58c3-8e41-457b-ad0e-12c976e36917.wav
fdf06a9e-e1fc-42a7-9f8b-83b7729a3314,request 501 rupees from giri,en-IN,request final 20 piece from gary,0.8,0.25,request final 20 piece from gary,0.8,0.25,request rupees from idea,0.4,0.25,request rupees from idea,0.4,0.25,https://storage.googleapis.com/slang-audio-test-data/audio/fdf06a9e-e1fc-42a7-9f8b-83b7729a3314.wav
fd04afb3-3465-47dc-8c4a-85c5532fb5d3,500,en-IN,500,0.0,1.0,500,0.0,1.0,,1.0,0.0,,1.0,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/fd04afb3-3465-47dc-8c4a-85c5532fb5d3.wav
fc65298a-237d-4555-8cd8-9c70eb0ac36a,what is the last payment ID,en-IN,what is the last payment,0.16666666666666666,0.5,what is the last payment,0.16666666666666666,0.5,what is the last payment did,0.16666666666666666,1.0,what is the last payment did,0.16666666666666666,1.0,https://storage.googleapis.com/slang-audio-test-data/audio/fc65298a-237d-4555-8cd8-9c70eb0ac36a.wav
fbf2fa64-8512-4aee-9c28-dcda27429ffb,go ahead and pay all the pending request,en-IN,go ahead and pay all the pending request,0.0,1.0,go ahead and pay all the pending request,0.0,1.0,go ahead and pay all the pending requests,0.125,0.0,go ahead and pay all the pending requests,0.125,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/fbf2fa64-8512-4aee-9c28-dcda27429ffb.wav
fb4fe4a5-2311-4d60-a01c-d873bbcbae68,send 5000 to amithanshu bhaiya,en-IN,send 5000 to amazon shubhayu,0.4,0.6,send 5000 to amazon shubhayu,0.4,0.6,then to metals,0.8,0.0,then to metals,0.8,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/fb4fe4a5-2311-4d60-a01c-d873bbcbae68.wav
fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786,show starter and put 21 rupees in the amount,en-IN,shawn carter and 21 rupees in amount,0.4444444444444444,0.0,shawn carter and 21 rupees in amount,0.4444444444444444,0.0,so scanner and put rupees in amount,0.4444444444444444,0.0,so scanner and put rupees in amount,0.4444444444444444,0.0,https://storage.googleapis.com/slang-audio-test-data/audio/fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786.wav
fa61899b-052a-4b53-b7d4-e3ff6a290dab,pay my DTH bill,en-IN,female dth bill,0.5,0.6666666666666667,female dth bill,0.5,0.6666666666666667,payment the bill,0.75,0.33333333333333337,payment the bill,0.75,0.33333333333333337,https://storage.googleapis.com/slang-audio-test-data/audio/fa61899b-052a-4b53-b7d4-e3ff6a290dab.wav
