File_name,Reference_transcript ,Language
ff4787fa-59ab-4fa6-8d28-5fcccb05120c,give some hundred rupees to vijay,en-IN
feec7e5a-fcf6-4850-8614-1c41b8e515db,what are the offers of paying water bill through the app,en-IN
fe270614-16d4-416b-855a-5e6e542ad540,request three sixty five from madhu,en-IN
fe1f1315-af02-4483-b280-cbe620051311,They are sound to pay five hundred rupees has a representative so please pay it,en-IN
fe1b58c3-8e41-457b-ad0e-12c976e36917,donate fifty thousand to Dr. Praveens eye hospital,en-IN
fdf06a9e-e1fc-42a7-9f8b-83b7729a3314,request five not one rupees from giri,en-IN
fd04afb3-3465-47dc-8c4a-85c5532fb5d3,five hundred,en-IN
fc65298a-237d-4555-8cd8-9c70eb0ac36a,what is the last payment ID,en-IN
fbf2fa64-8512-4aee-9c28-dcda27429ffb,go ahead and pay all the pending request,en-IN
fb4fe4a5-2311-4d60-a01c-d873bbcbae68,send five thousand to amithanshu bhaiya,en-IN
fb0c9ad8-af0a-4ab8-9dce-0ae15e09c786,show starter and put twenty one rupees in the amount,en-IN
fa61899b-052a-4b53-b7d4-e3ff6a290dab,pay my DTH bill,en-IN
fa6a612b-8f2e-4d9e-9794-270495811ae0,please pay the minimum of five thousand rupees for my credit card bill,en-IN
f86854f2-8304-470a-b267-cc9b0db7b917,check the IPO listed in my App,en-IN
f9897d8e-4013-404b-8aa4-01939bbe6ed2,send one thousand to satish,en-IN
f04865c8-4312-4c5f-9319-01c3a372313f,i want to clear my DTH outstanding,en-IN
f3628df0-447b-4623-bcd5-64aefc185694,show me offers,en-IN
f236a752-3de0-41b6-93be-58122496ced0,send two hundred to Dr. Aishwarya for her consultation fees,en-IN
f92e6155-cead-4e42-8a01-fdcb5c681281,pull up QR code scanner I want to pay,en-IN
f50b5353-4fb2-4c59-83b4-f4957c2ee83e,pay five hundred rupees has DTH bill,en-IN
f042fdf7-ad3e-4f99-b3d4-1cf8c65a68ab,request three hundred rupees from vishnu,en-IN
f37aab91-5ebb-4e80-bf62-a2d851058cd5,pay my electricity bill,en-IN
f15e0369-c243-495e-8211-128f1c7ae388,Accept payment from razorpay,en-IN
f9aab429-b9a6-4319-8535-1a66c4696188,show me any offers which are there in the app,en-IN
f8f6fd4a-0528-43ef-aedf-8a28c236aeb5,one thousand from jagan,en-IN
f6ce136c-5171-45dd-ab49-6fdf18ad7d0d,send two hundred rupees to my dad,en-IN
f3ab2a1c-ba42-42aa-9f4d-811a79394af0,transfer ten thousand,en-IN
f1fb2931-1d47-403b-aa72-fd7b1c2c6b2f,can u gift hundred bucks to my friend,en-IN
f1f0a348-87a0-484d-94da-0c30fe5f38b1,ask vaishnav to pay five hundred rupees,en-IN
f0c2f94a-d9ce-469a-b830-80ecf04c2e6e,please ask dr. aishwarya to send one thousand rupees as a refund,en-IN
eef55f8a-d7ff-4a09-9e59-763c868cc6b1,check my account balance,en-IN
eec5bfdc-0efe-4297-b8e3-878253a8b6ad,scan and pay five hundred rupees,en-IN
ee4225ee-6720-45c8-9a2d-17bf033cbb67,four hundred,en-IN
ee76dd2c-7ca0-45de-9e93-cfb382bbe256,please show QR code scanner,en-IN
ee1cb199-b667-4c82-bbf6-d43ae3bba1da,pay my phone bill to airtel,en-IN
edb889eb-4d4d-44a1-bbe3-49a84bfc45f4,i want to make a transaction to ajay four hundred rupees,en-IN
ed28b53b-6716-4521-a08c-2f171187ee60,thre four zero zero pnb account please tell the balance,en-IN
ed1ff3dd-acb8-438d-85ce-d69a08d3f9be,give tulsi a gift of six hundred rupees,en-IN
ed1c6cbe-4f44-4516-af18-4bb100eb0bef,show me my transactions,en-IN
eb606764-e7a2-46ae-9497-3c4f2cca31c7,bank balance,en-IN
eb92f45f-7952-4295-9f37-178d69126ed9,pay my gas bill,en-IN
eb2a10f5-77aa-4217-9ecd-44e3f0e47c8b,how much have i spent in last month,en-IN
e2401752-958b-403a-9da1-682d41729caa,approve my current payments,en-IN
e461308d-bffc-4811-b5ac-6ed4a1a91040,i would like to make a donation to akshaya patra,en-IN
e146776d-ec02-49c8-b495-7b4a4613d46a,infinite,en-IN
e17415e4-71e1-42fe-8c80-c43e2e704063,open QR code,en-IN
e4698de2-52b9-4d26-9d45-8cc6c900fba4,donation to PM cares fund,en-IN
e4619b03-a874-4a0b-8294-f0117a40a087,last transaction,en-IN
e3543c36-0ead-4766-ab36-1a2281d70f43,approve my current transaction,en-IN
e944a5d0-6bef-4a7f-bfda-722186869a61,can you donate two thousand rupees on my behalf to the PM care fund,en-IN
e105bcf6-310b-4783-aa0d-fab6da6a125c,i want to invest in the nykaa IPO,en-IN
e96ce484-ccc9-4411-a0ec-0268fd4b8ee7,donate five thousand rupees to the ,en-IN
e84ade3c-aa6c-43c0-a6f0-0a7af43b42da,open QR code to scan and pay thousand rupees ,en-IN
e66e3475-5bb9-4a63-8965-9157bb14361b,send five hundred rupees to Dr. neelam for her dental consultation fees,en-IN
e59a24d7-2046-4e72-a85a-4f6a116344c6,pay my fastag bill,en-IN
e57fc772-11e3-414b-8a0c-520e8d285396,request four hundred from anjali,en-IN
e23a74eb-1db7-46d9-92f8-af5bc020654d,show my account balance for HDFC account,en-IN
e19e5ae6-e814-4a98-8969-cd63de3cbf2a,please open the Qr scanner of rupees hundred and two point five zero,en-IN
e08c14ef-97f9-47f7-8ded-a5d153b54cc2,transfer ten thousand to EVG abhi,en-IN
e7be7084-d747-44cc-8ee3-b9f843eaccfc,pay my internet bill,en-IN
e4dc0b3f-050c-4802-929b-8494f5807f1e,PO,en-IN
e3f42e33-dead-4e7a-9349-5db5af58e710,pay my cable bill for two hundred and fifty two rupees,en-IN
e1db3384-7fd6-448e-8a57-6cde5dbeb4f8,any offers if i do payment of five thousand to a person,en-IN
