References,transformed_references,indic_conformer_transcription_raw,indic_conformer_transcription,indic_conformer_wer,indic_conformer_pred_response,google_speech_transcription_raw,google_speech_transcription,google_speech_wer,google_speech_pred_response,slang_google_speech_transcription_raw,slang_google_speech_transcription,slang_google_speech_wer,slang_google_speech_pred_response,audio_links
"give some hundred rupees to vijay,give some 100 rupees to vijay","give some 100 rupees to vijay,give some 100 rupees to vijay",gives some hundred upees to vijai,gives some 100 upees to vijai,0.5,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'gives some 100 upees to vijai'}",give some hundred rupees to Vijaya,give some 100 rupees to vijaya,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '100.0'}, 'payments_transaction_action': 'send', 'payments_name': 'vijaya'}], 'text': 'give some 100 rupees to vijaya'}",give some hundred rupees to Vijaya,give some 100 rupees to vijaya,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '100.0'}, 'payments_transaction_action': 'send', 'payments_name': 'vijaya'}], 'text': 'give some 100 rupees to vijaya'}",https://storage.googleapis.com/slang-audio-test-data/audio/ff4787fa-59ab-4fa6-8d28-5fcccb05120c.wav
"what are the offers of paying water bill through the app,what are the offers of paying water bill through the app","what are the offers of paying water bill through the app,what are the offers of paying water bill through the app",what are the offers of paying waterbill through the app,what are the offers of paying waterbill through the app,0.18181818181818182,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'what are the offers of paying waterbill through the app'}",what are the offers of pain water bill to the app,what are the offers of pain water bill to the app,0.18181818181818182,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'what are the offers of pain water bill to the app'}",what are the offers of pain water bill to the app,what are the offers of pain water bill to the app,0.18181818181818182,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'what are the offers of pain water bill to the app'}",https://storage.googleapis.com/slang-audio-test-data/audio/feec7e5a-fcf6-4850-8614-1c41b8e515db.wav
"request three sixty five from madhu,request 365 from madhu","request 365 from madhu,request 365 from madhu",request three hundred and sixty five from madu,request 365 from madu,0.25,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'request', 'payments_name': 'madu', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '365.0'}}], 'text': 'request 365 from madu'}",request 365 from Madhu,request 365 from madhu,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'request', 'payments_name': 'madhu', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '365.0'}}], 'text': 'request 365 from madhu'}",request 365 from Madhu,request 365 from madhu,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'request', 'payments_name': 'madhu', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '365.0'}}], 'text': 'request 365 from madhu'}",https://storage.googleapis.com/slang-audio-test-data/audio/fe270614-16d4-416b-855a-5e6e542ad540.wav
"They are sound to pay five hundred rupees has a representative so please pay it,they are sound to pay 500 has a representative so please pay it","they are sound to pay 500 rupees has a representative so please pay it,they are sound to pay 500 has a representative so please pay it",it has shown to pay five hundred rupees as electricity so play paid,it has shown to pay 500 rupees as electricity so play paid,0.6428571428571429,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '500.0'}, 'payments_transaction_action': 'send'}], 'text': 'it has shown to pay 500 rupees as electricity so play paid'}",they are soon to pay 500 Rupees as a electricity so please wait,they are soon to pay 500 rupees as a electricity so please wait,0.35714285714285715,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '500.0'}, 'payments_transaction_action': 'send'}], 'text': 'they are soon to pay 500 rupees as a electricity so please wait'}",they are soon to pay 500 Rupees as a electricity so please wait,they are soon to pay 500 rupees as a electricity so please wait,0.35714285714285715,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '500.0'}, 'payments_transaction_action': 'send'}], 'text': 'they are soon to pay 500 rupees as a electricity so please wait'}",https://storage.googleapis.com/slang-audio-test-data/audio/fe1f1315-af02-4483-b280-cbe620051311.wav
"donate fifty thousand to Dr. Praveens eye hospital,donate fifty thousand to doctor Praveens eye hospital,donate 50000 to dr. praveens eye hospital,donate 50000 to doctor praveens eye hospital","donate 50000 to dr praveens eye hospital,donate 50000 to doctor praveens eye hospital,donate 50000 to dr praveens eye hospital,donate 50000 to doctor praveens eye hospital",donate fifty thousand to doctor proravince i hospital,donate 50000 to doctor proravince i hospital,0.2857142857142857,"{'intent': 'payments_bill', 'entities': [{'payments_bill_type': 'Hospital'}], 'text': 'donate 50000 to doctor proravince i hospital'}",donate 50000 to Dr praveen's Eye Hospital,donate 50000 to dr praveen's eye hospital,0.14285714285714285,"{'intent': 'payments_navigation', 'entities': [{'payments_navigation_target': 'donations'}], 'text': ""donate 50000 to dr praveen's eye hospital""}",donate 50000 to Dr praveen's Eye Hospital,donate 50000 to dr praveen's eye hospital,0.14285714285714285,"{'intent': 'payments_navigation', 'entities': [{'payments_navigation_target': 'donations'}], 'text': ""donate 50000 to dr praveen's eye hospital""}",https://storage.googleapis.com/slang-audio-test-data/audio/fe1b58c3-8e41-457b-ad0e-12c976e36917.wav
"request five not one rupees from giri,request 501 rupees from giri","request 501 rupees from giri,request 501 rupees from giri",request phive naught one rupees from giri,request phive naught 1 rupees from giri,0.6,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '1.0'}, 'payments_transaction_action': 'request', 'payments_name': 'giri'}], 'text': 'request phive naught 1 rupees from giri'}",request fine art one rupees from Giri,request fine art 1 rupees from giri,0.6,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '1.0'}, 'payments_transaction_action': 'request', 'payments_name': 'giri'}], 'text': 'request fine art 1 rupees from giri'}",request fine art one rupees from Giri,request fine art 1 rupees from giri,0.6,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'INR', 'std_money_amount': '1.0'}, 'payments_transaction_action': 'request', 'payments_name': 'giri'}], 'text': 'request fine art 1 rupees from giri'}",https://storage.googleapis.com/slang-audio-test-data/audio/fdf06a9e-e1fc-42a7-9f8b-83b7729a3314.wav
"five hundred,500","500,500",five hundred,500,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '500.0'}}], 'text': '500'}",500,500,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '500.0'}}], 'text': '500'}",500,500,0.0,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '500.0'}}], 'text': '500'}",https://storage.googleapis.com/slang-audio-test-data/audio/fd04afb3-3465-47dc-8c4a-85c5532fb5d3.wav
"what is the last payment ID,what is the last payment id","what is the last payment id,what is the last payment id",what is the last payment i did,what is the last payment i did,0.3333333333333333,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'what is the last payment i did'}",what is the last payment date,what is the last payment date,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'what is the last payment date'}",what is the last payment date,what is the last payment date,0.16666666666666666,"{'intent': 'payments_transactions', 'entities': [{}], 'text': 'what is the last payment date'}",https://storage.googleapis.com/slang-audio-test-data/audio/fc65298a-237d-4555-8cd8-9c70eb0ac36a.wav
"go ahead and pay all the pending request,go ahead and pay all the pending request","go ahead and pay all the pending request,go ahead and pay all the pending request",go ahead and pay all the pending requests,go ahead and pay all the pending requests,0.125,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'go ahead and pay all the pending requests'}",go ahead and pay all the pending requests,go ahead and pay all the pending requests,0.125,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'go ahead and pay all the pending requests'}",go ahead and pay all the pending requests,go ahead and pay all the pending requests,0.125,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send'}], 'text': 'go ahead and pay all the pending requests'}",https://storage.googleapis.com/slang-audio-test-data/audio/fbf2fa64-8512-4aee-9c28-dcda27429ffb.wav
"send five thousand to amithanshu bhaiya,send 5000 to amithanshu bhaiya","send 5000 to amithanshu bhaiya,send 5000 to amithanshu bhaiya",send five thousand to amitan shubaya,send 5000 to amitan shubaya,0.4,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '5000.0'}}], 'text': 'send 5000 to amitan shubaya'}",send 5000 to amitanshu bhaiya,send 5000 to amitanshu bhaiya,0.2,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '5000.0'}}], 'text': 'send 5000 to amitanshu bhaiya'}",send 5000 to amitanshu bhaiya,send 5000 to amitanshu bhaiya,0.2,"{'intent': 'payments_transactions', 'entities': [{'payments_transaction_action': 'send', 'payments_transaction_amount': {'std_money_unit': 'None', 'std_money_amount': '5000.0'}}], 'text': 'send 5000 to amitanshu bhaiya'}",https://storage.googleapis.com/slang-audio-test-data/audio/fb4fe4a5-2311-4d60-a01c-d873bbcbae68.wav
