raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"give some hundred rupees to vijay,give some 100 rupees to vijay","give some hundred rupees to vijay,give some 100 rupees to vijay","give some 100 rupees to vijay,give some 100 rupees to vijay",gives some hundred upees to vijai,give some hundred rupees to vijaya,give some hundred rupees to vijaya,gives some hundred upees to vijai,give some hundred rupees to vijaya,give some hundred rupees to vijaya,gives some 100 upees to vijai,give some 100 rupees to vijaya,give some 100 rupees to vijaya
"what are the offers of paying water bill through the app,what are the offers of paying water bill through the app","what are the offers of paying water bill through the app,what are the offers of paying water bill through the app","what are the offers of paying water bill through the app,what are the offers of paying water bill through the app",what are the offers of paying waterbill through the app,what are the offers of pain water bill to the app,what are the offers of pain water bill to the app,what are the offers of paying waterbill through the app,what are the offers of pain water bill to the app,what are the offers of pain water bill to the app,what are the offers of paying waterbill through the app,what are the offers of pain water bill to the app,what are the offers of pain water bill to the app
"request three sixty five from madhu,request 365 from madhu","request three 65 from madhu,request 365 from madhu","request 365 from madhu,request 365 from madhu",request three hundred and sixty five from madu,request 365 from madhu,request 365 from madhu,request 365 from madu,request 365 from madhu,request 365 from madhu,request 365 from madu,request 365 from madhu,request 365 from madhu
"They are sound to pay five hundred rupees has a representative so please pay it,they are sound to pay 500 has a representative so please pay it","they are sound to pay rs500 has a representative so please pay it,they are sound to pay 500 has a representative so please pay it","they are sound to pay 500 rupees has a representative so please pay it,they are sound to pay 500 has a representative so please pay it",it has shown to pay five hundred rupees as electricity so play paid,they are soon to pay 500 rupees as a electricity so please wait,they are soon to pay 500 rupees as a electricity so please wait,it has shown to pay rs500 as electricity so play paid,they are soon to pay 500 rupees as a electricity so please wait,they are soon to pay 500 rupees as a electricity so please wait,it has shown to pay 500 rupees as electricity so play paid,they are soon to pay 500 rupees as a electricity so please wait,they are soon to pay 500 rupees as a electricity so please wait
"donate fifty thousand to Dr. Praveens eye hospital,donate 50000 to dr. praveens eye hospital","donate 50000 to dr praveens eye hospital,donate 50000 to dr praveens eye hospital","donate 50000 to dr praveens eye hospital,donate 50000 to dr praveens eye hospital",donate fifty thousand to doctor proravince i hospital,donate 50000 to dr praveen's eye hospital,donate 50000 to dr praveen's eye hospital,donate 50000 to dr. proravince i hospital,donate 50000 to dr praveen's eye hospital,donate 50000 to dr praveen's eye hospital,donate 50000 to doctor proravince i hospital,donate 50000 to dr praveen's eye hospital,donate 50000 to dr praveen's eye hospital
"request five not one rupees from giri,request 501 rupees from giri","request five not one rupees from giri,request 501 rupees from giri","request 501 rupees from giri,request 501 rupees from giri",request phive naught one rupees from giri,request fine art one rupees from giri,request fine art one rupees from giri,request phive naught one rupees from giri,request fine art one rupees from giri,request fine art one rupees from giri,request phive naught 1 rupees from giri,request fine art 1 rupees from giri,request fine art 1 rupees from giri
"five hundred,500","500,500","500,500",five hundred,500,500,500,500,500,500,500,500
"what is the last payment ID,what is the last payment id","what is the last payment id,what is the last payment id","what is the last payment id,what is the last payment id",what is the last payment i did,what is the last payment date,what is the last payment date,what is the last payment i did,what is the last payment date,what is the last payment date,what is the last payment i did,what is the last payment date,what is the last payment date
"go ahead and pay all the pending request,go ahead and pay all the pending request","go ahead and pay all the pending request,go ahead and pay all the pending request","go ahead and pay all the pending request,go ahead and pay all the pending request",go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests,go ahead and pay all the pending requests
"send five thousand to amithanshu bhaiya,send 5000 to amithanshu bhaiya","send 5000 to amithanshu bhaiya,send 5000 to amithanshu bhaiya","send 5000 to amithanshu bhaiya,send 5000 to amithanshu bhaiya",send five thousand to amitan shubaya,send 5000 to amitanshu bhaiya,send 5000 to amitanshu bhaiya,send 5000 to amitan shubaya,send 5000 to amitanshu bhaiya,send 5000 to amitanshu bhaiya,send 5000 to amitan shubaya,send 5000 to amitanshu bhaiya,send 5000 to amitanshu bhaiya
